Name,Console,Year_of_Release,ESRB_rating,Publisher,Global_players,Genre,Critic_Score,User_Score,NA_Sales,EU_Sales,JP_Sales,Other_Country_Sales,Sequel,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform,RealTime,TurnBased,VisualNovel,FirstPerson,SideScrolling,TopDown,ThirdPerson
Onimusha 3: Demon Siege,PS2,2004,M,Capcom,1.45,Action,85.0,8.6,0.37,0.47,0.54,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onimusha Essentials,PS2,2008,M,Capcom,0.14,Action,71.6,8.3,0.07,0.05,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onimusha Tactics,GBA,2003,T,Capcom,0.08,Strategy,64.0,8.7,0.06,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onimusha: Blade Warriors,PS2,2003,T,Capcom,0.12,Fighting,65.0,6.9,0.06,0.05,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onimusha: Dawn of Dreams,PS2,2006,M,Capcom,0.64,Action,81.0,8.9,0.15,0.12,0.34,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onimusha: Warlords,PS2,2001,M,Virgin Interactive,2.7,Action,86.0,8.2,0.99,0.48,1.09,0.14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Online Chess Kingdoms,PSP,2006,E,Konami Digital Entertainment,0.02,Misc,60.0,6.8,0.01,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ontamarama,DS,2007,E,Atlus,0.05,Action,71.0,8.2,0.05,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Open Season,DS,2006,E,Ubisoft,0.13,Platform,72.0,7.3,0.12,0.0,0.0,0.01,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Open Season,GC,2006,E10+,Ubisoft,0.17,Platform,59.0,4.4,0.13,0.03,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Open Season,PS2,2006,E10+,Ubisoft,0.03,Platform,57.0,7.9,0.01,0.01,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Open Season,PSP,2006,E10+,Ubisoft,0.07,Platform,71.1,5.2,0.07,0.0,0.0,0.01,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Open Season,Wii,2006,E10+,Ubisoft,0.07,Platform,49.0,5.6,0.06,0.0,0.0,0.01,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Open Season,X360,2006,E10+,Ubisoft,0.11,Platform,59.0,7.3,0.1,0.0,0.0,0.01,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Operation Abyss: New Tokyo Legacy,PSV,2014,M,Nippon Ichi Software,0.1,Role-Playing,66.0,7.3,0.02,0.0,0.06,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operation Armored Liberty,GBA,2003,T,Majesco Entertainment,0.27,Action,55.1,7.2,0.19,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operation Darkness,X360,2007,M,Success,0.07,Role-Playing,46.0,7.0,0.07,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operation Flashpoint: Dragon Rising,PC,2009,M,Codemasters,0.05,Shooter,76.0,4.9,0.02,0.03,0.0,0.01,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Operation Flashpoint: Dragon Rising,PS3,2009,M,Codemasters,0.91,Shooter,76.0,6.5,0.23,0.46,0.05,0.17,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Operation Flashpoint: Dragon Rising,X360,2009,M,Codemasters,0.93,Shooter,77.0,7.8,0.36,0.45,0.02,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Operation Flashpoint: Elite,XB,2005,T,Codemasters,0.04,Shooter,64.0,8.3,0.03,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operation Flashpoint: Red River,PC,2011,M,Codemasters,0.07,Shooter,67.0,4.9,0.01,0.04,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operation Flashpoint: Red River,PS3,2011,M,Codemasters,0.32,Shooter,67.0,6.3,0.06,0.14,0.07,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operation Flashpoint: Red River,X360,2011,M,Codemasters,0.28,Shooter,69.0,6.1,0.1,0.14,0.01,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operation: Vietnam,DS,2007,T,Majesco Entertainment,0.07,Shooter,65.0,6.3,0.06,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Opoona,Wii,2007,E10+,Tecmo Koei,0.1,Role-Playing,65.0,7.7,0.08,0.0,0.01,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order of War,PC,2009,T,Square Enix,0.02,Strategy,69.0,7.3,0.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oreshika: Tainted Bloodlines,PSV,2014,T,Sony Computer Entertainment,0.15,Role-Playing,78.0,8.0,0.0,0.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orphen: Scion of Sorcery,PS2,2000,T,Activision,0.31,Role-Playing,54.0,5.8,0.15,0.12,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otogi 2: Immortal Warriors,XB,2003,T,Sega,0.05,Action,79.0,8.3,0.04,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otogi: Myth of Demons,XB,2002,T,Sega,0.13,Action,80.0,8.5,0.08,0.02,0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
